height,hash,time,latest_url,previous_hash,previous_url,peer_count,unconfirmed_count,high_gas_price,medium_gas_price,low_gas_price,high_priority_fee,medium_priority_fee,low_priority_fee,base_fee,last_fork_height,last_fork_hash
18780334,604ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,0,291,540,540,18,60102,58063946892,51859335298,46555184352,911910977,685354316,530011002,51130082736,18779074,34
18780334,604ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,1,291,540,540,10,60230,58063946892,51859335298,46555184352,911910977,685354316,530011002,51130082736,18779074,34
18780334,604ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,2,291,540,540,8,60088,58063946892,51859335298,46555184352,911910977,685354316,530011002,51130082736,18779074,34
18780334,604ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,1,291,540,540,10,60259,58063946892,51859335298,46555184352,911910977,685354316,530011002,51130082736,18779074,34
18780334,604ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,1,291,540,540,10,60285,58063946892,51859335298,46555184352,911910977,685354316,530011002,51130082736,18779074,34
18780335,1e0eb19d32d2a4e9eca9fceeddb055a7ca5a7b87606304aaf643c32543686074,4,96,239,239,10,60185,58063946892,51807445233,46555184352,885321841,682695402,530011002,49492540003,18779074,34
18780335,1e0eb19d32d2a4e9eca9fceeddb055a7ca5a7b87606304aaf643c32543686074,5,96,239,239,18,60090,58063946892,51807445233,46555184352,885321841,682695402,530011002,49492540003,18779074,34
18780335,1e0eb19d32d2a4e9eca9fceeddb055a7ca5a7b87606304aaf643c32543686074,5,96,239,239,18,60107,58063946892,51807445233,46555184352,885321841,682695402,530011002,49492540003,18779074,34
18780335,1e0eb19d32d2a4e9eca9fceeddb055a7ca5a7b87606304aaf643c32543686074,3,96,239,239,8,60090,58063946892,51807445233,46555184352,885321841,682695402,530011002,49492540003,18779074,34
18780335,1e0eb19d32d2a4e9eca9fceeddb055a7ca5a7b87606304aaf643c32543686074,4,96,239,239,10,60256,58063946892,51807445233,46555184352,885321841,682695402,530011002,49492540003,18779074,34
18780335,1e0eb19d32d2a4e9eca9fceeddb055a7ca5a7b87606304aaf643c32543686074,3,96,239,239,8,60116,58063946892,51807445233,46555184352,885321841,682695402,530011002,49492540003,18779074,34
18780342,aff39ef4916a537020be0b40e4b454420323d47e3142c566cf51c382baa7d05e,6,528,460,460,8,59911,57860175006,51617695545,46555184352,868855863,684097138,533904350,50240777648,18779074,34
18780342,aff39ef4916a537020be0b40e4b454420323d47e3142c566cf51c382baa7d05e,6,528,460,460,8,59925,57860175006,51617695545,46555184352,868855863,684097138,533904350,50240777648,18779074,34
18780342,aff39ef4916a537020be0b40e4b454420323d47e3142c566cf51c382baa7d05e,6,528,460,460,8,59936,57860175006,51617695545,46555184352,868855863,684097138,533904350,50240777648,18779074,34
18780342,aff39ef4916a537020be0b40e4b454420323d47e3142c566cf51c382baa7d05e,8,528,460,460,19,59984,57860175006,51617695545,46555184352,868855863,684097138,533904350,50240777648,18779074,34
18780342,aff39ef4916a537020be0b40e4b454420323d47e3142c566cf51c382baa7d05e,7,528,460,460,4,60313,57860175006,51617695545,46555184352,868855863,684097138,533904350,50240777648,18779074,34
18780349,e17c970c4a4143240a010df8616401629a3f6e86aaab2fbb477b7c6001442b5a,9,689,532,532,8,60127,57654242065,51538714621,46555184352,940766003,691060689,533084173,53129944159,18779074,34
18780349,e17c970c4a4143240a010df8616401629a3f6e86aaab2fbb477b7c6001442b5a,11,689,532,532,20,60162,57654242065,51538714621,46555184352,940766003,691060689,533084173,53129944159,18779074,34
18780349,e17c970c4a4143240a010df8616401629a3f6e86aaab2fbb477b7c6001442b5a,10,689,532,532,10,60312,57654242065,51538714621,46555184352,940766003,691060689,533084173,53129944159,18779074,34
18780350,2d2fe42e13f9bb74868fe2ab020c6df5219142bcc8965a6a6a8718eabe1226f0,12,140,381,381,20,60212,57654242065,51538714621,46555184352,940766003,691060689,533084173,54167881007,18779074,34
18780351,5e25c424f750f1eb24616dbcbd628c94d27e44c4630504200e5a596c1265b195,13,283,147,147,10,60336,57647538583,51549397530,46555184352,954182977,692226645,533084173,55233171381,18779074,34
18780352,45d43ef33f32f312f931efd628a0b5a6208551671786caa6894602d9ef8342dc,14,206,110,110,10,60312,57645328634,51568998762,46555184352,930295147,689878018,533084173,53993070234,18779074,34
18780353,46843035c7f4c066339d35b0322236de405e7ec74faa73b2dd524541fd1c250a,16,207,639,639,11,60344,57622226184,51575426537,46555184352,918915061,688649183,533084173,54984719110,18779074,34
18780353,46843035c7f4c066339d35b0322236de405e7ec74faa73b2dd524541fd1c250a,15,207,639,639,20,60314,57622226184,51575426537,46555184352,918915061,688649183,533084173,54984719110,18779074,34
18780356,0c371f9135b68f4f2ef23129c1a1e81b6637b2ab2db40f30703eef5b97d315d1,17,43,528,528,8,60178,57611499646,51647844015,46555184352,900385739,687577573,533084173,56346909591,18779074,34
18780356,0c371f9135b68f4f2ef23129c1a1e81b6637b2ab2db40f30703eef5b97d315d1,18,43,528,528,11,60430,57611499646,51647844015,46555184352,900385739,687577573,533084173,56346909591,18779074,34
18780357,d2399c39f6ed5d56d77ca69d49e899d0657d46699775fe5c3dfef1a7af304101,19,640,173,173,11,60431,57609580102,51664503238,46555184352,888521453,686391145,533084173,56619346898,18779074,34
18780358,0ca45c34644508298685c977fcda82eada0f2f7b69826bd6250061448417969d,20,46,176,176,20,60305,57609580102,51704832405,46555184352,876761690,685215168,533084173,56422271938,18779074,34
18780359,6d31f25e95abbf00fe204a442c4588b913e51d18bc5b7ad78665766ea6c69e14,21,334,501,501,7,60295,57609580102,51714275551,46555184352,863680854,683907085,533084173,55877826166,18779074,34
18780360,baa5f9891fc7d6f77dba524dadebdf68a6b566f54bcfa8d6c669a51fe2e60a01,22,574,156,156,4,60684,57609580102,51721066521,46555184352,870924674,684631467,533084173,54245395055,18779074,34
18780361,851b5fcd9fe296813b10a621571cc4676b0fbff7938447d4b82782c165c44333,23,410,505,505,11,60425,57603731886,51716728082,46555184352,905429543,687827851,533048599,55454292559,18779074,34
18780362,558746de73d9eeedb3e490678ab556c3e881c3d7d6c96a9b4b4e69f8fe668270,24,262,84,84,7,60296,57603731886,51716894437,46555184352,870304653,684315362,533048599,53240493890,18779074,34
18780363,d99b46814895afb1f4a361fd0d250f53963e0a2dbad10021850a430bc64126c6,25,666,410,410,20,60310,57603731886,51701931071,46576747891,900970496,687220038,533048599,52005848612,18779074,34
18780364,da89fce6ffe9bdce3618be335689c6a3506fa9b93c82fd7331ee5b942b2a9e00,26,671,478,478,11,60397,57603731886,51680486462,46576747891,883842523,685507241,533048599,51342797445,18779074,34
18780365,9a093499e3e39edf62e5e5a99d50492b0feb5aaf73099d0a0800479c1ba9af88,27,467,415,415,20,60282,57603731886,51641023871,46576747891,841826284,681305617,533048599,49759147684,18779074,34
18780365,9a093499e3e39edf62e5e5a99d50492b0feb5aaf73099d0a0800479c1ba9af88,27,467,415,415,20,60401,57603731886,51641023871,46576747891,841826284,681305617,533048599,49759147684,18779074,34
18780366,ae85eb0362d79c82af1e0334c95791bb7887716ba59bf93a387e744f3fb58bfb,28,525,30,30,6,60694,57595804223,51595157233,46576747891,837561615,680766172,532606712,49922976775,18779074,34
18780367,a43f18b4de60c4c7379be228c943453dfea149a8255aaa71a84ab503859ccf79,29,494,407,407,7,60359,57595804223,51543749805,46576747891,873729789,684382989,532606712,49358498093,18779074,34
18780368,9a59d79d38a1e458194faef67f8509c370b218c9c92582f80da8b268260ba948,30,468,188,188,11,60497,57595804223,51486608419,46576747891,870930781,684103089,532606712,51806952304,18779074,34
18780369,b77e73bd421f6ed5b6288627fb6cab861e5e807ab645a1626ab5863914b9914b,31,559,268,268,20,60356,57580437405,51481725703,46576747891,832998828,680460686,532606712,53817457944,18779074,34
18780370,862d96159d000a19dc68c3cc49364c9f7263e183745ce976df19d9786df21b1b,32,417,387,387,8,60378,57580437405,51500506912,46576747891,903785921,687539395,532606712,52678524912,18779074,34
18780371,e9081e4e41f07e4c01f6ecebcfd2faf4aa8a365d053bda532d49f94d4a470d73,33,711,139,139,20,60375,57557539544,51518977686,46576747891,946076141,691715685,532606712,53631670826,18779074,34
18780372,4e42370c646fe16fd38f14ba9e5625a559cf61607a58806c719d2861388e183d,35,235,25,25,11,60551,57557539544,51533132641,46576747891,1052063715,702314442,532606712,52110236862,18779074,34
18780372,4e42370c646fe16fd38f14ba9e5625a559cf61607a58806c719d2861388e183d,34,235,25,25,7,60581,57557539544,51533132641,46576747891,1052063715,702314442,532606712,52110236862,18779074,34
18780373,665bb9f16a8e0214be1427cca4059703fa26065cc0b963b4478585941a260a03,36,317,198,198,7,60603,57551426867,51520126497,46576747891,1070898520,704197923,532606712,52166396064,18779074,34
18780374,f0ac05ff679765ff781715ed2e417fb3e456d2d6e227ce28bf8ba975d7f6230b,37,743,271,271,6,60947,57551426867,51510823228,46576747891,997750539,696883125,532606712,49950719248,18779074,34
18780375,32e96fe81b0bf51817fd851e55fca92cabbe73b3b7a0b7cd1bc34498c5159352,38,158,519,519,10,60761,57543777410,51480093024,46576747891,1038576282,699317867,530778627,51167707749,18779074,34
18780376,eb6f60cf729111dd08785f1e43ab3cd42b45cc4cba5d9956370b9c4953a39099,39,720,712,712,20,60648,57534774159,51463661752,46576747891,1018790349,697242686,530778627,50622868028,18779074,34
18780377,efc9bf77dee6f16e4c5ad694ed6aa6cacff93d26215f376c3a8e2d1a67c36951,40,739,340,340,6,60962,57526563179,51447007022,46576747891,987881624,694186683,530778627,50743567288,18779074,34
18780378,56a2ffd1a3772d46b88b26402373e5b9a04f7a553c13a1d1ff91dfda5d3fa7b7,41,266,613,613,5,60967,57526563179,51419581999,46576747891,1035427770,698941298,530778627,48464956154,18779074,34
18780378,56a2ffd1a3772d46b88b26402373e5b9a04f7a553c13a1d1ff91dfda5d3fa7b7,42,266,613,613,20,60779,57526563179,51419581999,46576747891,1035427770,698941298,530778627,48464956154,18779074,34
18780379,2c7cb9d6d655f6bff72cc30011ea1725147c014dc9a417c7d5ab5cb9e7cd1f3f,43,137,496,496,20,60734,57473835484,51365274543,46587071231,1037912668,700311612,524794756,52064998120,18779074,34
18780380,2856de535d00583087f54040818b1f6e268e67f7f2d3b8a15f4c1381c90e85b4,44,124,382,382,7,60828,57437598652,51358787044,46587071231,1013456067,698178888,524794756,49904259480,18779074,34
18780381,e3bf5ce3d6be352e1369f42213b82fe0bc1400c22827b2a585abf34fd6a61917,45,698,260,260,6,60756,57355324232,51331725564,46587071231,1026643197,699209281,524794756,54957476214,18779074,34
18780382,484d3464a6ecd528f45e3cffb3a598e2ac487852d010864292fd5e7cb0d01520,46,212,576,576,20,60808,57355324232,51379086569,46587071231,1021086328,698653594,524794756,54363303002,18779074,34
18780383,fd8373c55324a26c39af1c24f7b71db0f816849626782da3d25813f20c569012,47,779,235,235,11,60977,57351837799,51419419388,46587071231,1052882880,701833249,524794756,52721457408,18779074,34
18780384,5ae7d57893b32742ced71bb4768c9cfaf07be3459d3f0bf57dbb6d540bbfedc9,48,275,401,401,6,61351,57351837799,51422499868,46587071231,1036197309,700126594,524413774,54943894418,18779074,34
18780385,0596e7e19a5d8462c21ffc9413c59a233c2c03afa1c6f09e1615da2ba1f9f5fc,49,18,704,704,11,61170,57351837799,51472674821,46587071231,1020760473,698582910,524413774,54956856140,18779074,34
18780386,7d27052cfd81f7f661e0f3c8c0dcd65a938995b2da982dcdd77271c46cb62550,50,380,465,465,11,61200,57351837799,51472674821,46587071231,1020760473,698582910,524413774,57257708273,18779074,34
18780386,7d27052cfd81f7f661e0f3c8c0dcd65a938995b2da982dcdd77271c46cb62550,50,380,465,465,11,60335,57351837799,51513830813,46587071231,1088467834,705353646,524413774,57257708273,18779074,34
18780387,42df1b44e2d0ebbf14bd7f49260934bd339f116b1036347242926765045091c0,51,197,119,119,5,60516,57351844872,51581755205,46587071231,1103667253,706795504,524413774,56083492958,18779074,34
18780388,6c9e2a94cbb28250a1faf5f9442e78c531f6fd61b7f9f034ce3a2f1540eab453,52,332,674,674,5,60508,57351844872,51615108665,46587071231,1087883140,705217093,524413774,53786772037,18779074,34
18780389,251ec0ff72333925924fa6d327477cddaaf1f881fcbe63d8a01b7107564df9a1,53,114,483,483,20,60205,57348460922,51628704024,46587071231,1125488521,708750363,523350327,51292684797,18779074,34
18780390,0577261f3fe70ebc9d5a395c940ffeb28bd9f0822aa782bec42c554df6c7fa79,54,17,91,91,20,60189,57338189396,51595562882,46587071231,1114126772,707142112,523350327,51379894329,18779074,34
18780391,79aa019503b68577afecd83cb871e2ae9ebe280e574d845502dda0d00b0f03fc,55,372,366,366,10,60296,57335483734,51573659385,46587071231,1112506877,706980122,523350327,51517475984,18779074,34
18780392,ba329c192613ebba73c1d10b77d313094deb25a7cbb3cb99da87c308e77d3725,56,568,512,512,5,60489,57335483734,51557505260,46587071231,1106338406,706363275,523350327,50323100832,18779074,34
18780393,028fa3cd070e02ac45826e781ca4fa44edecc129cbd21f4f065a8ebd06640f72,57,7,158,158,7,60132,57286094068,51498130709,46587071231,1091820795,704771340,523350327,48499892373,18779074,34
18780393,028fa3cd070e02ac45826e781ca4fa44edecc129cbd21f4f065a8ebd06640f72,58,7,158,158,5,60569,57286094068,51498130709,46587071231,1091820795,704771340,523350327,48499892373,18779074,34
18780394,0619ff9cd35048b61bbfe84f138d8fb1703b8341c25f0e19b450a3bb862486d2,59,22,433,433,21,60251,57286094068,51447787746,46587071231,1109754262,709287487,523350327,48069324475,18779074,34
18780395,4d6722d2149d755f767b5229031ae47a0e7ba62279e37d97bb256b84ad85fdd4,60,232,81,81,10,60419,57224185536,51374101982,46587071231,1074645627,705935821,523350327,51019095767,18779074,34
18780396,59294a666caf11c881a3a0bc3927402886fe4da20c162a21ff6ce63dff15f770,61,269,317,317,21,60387,57218608525,51375044495,46587071231,1087095199,706962813,523350327,50450736238,18779074,34
18780397,7505db67ef79834099f80e402617085d69f68c138b755aa3511c5c2e3c85ed5c,62,358,124,124,7,60175,57199057934,51347374829,46587071231,1059515188,704164907,522951275,49645538704,18779074,34
18780398,637b91883d7e7c1abb7d25b529df459a7343a32a466f1941f4f91be25252a6d0,63,308,17,17,21,60265,57199057934,51346272247,46587071231,1213877640,719601152,522951275,44785124626,18779074,34
18780398,637b91883d7e7c1abb7d25b529df459a7343a32a466f1941f4f91be25252a6d0,63,308,17,17,21,60548,57199057934,51346272247,46587071231,1213877640,719601152,522951275,44785124626,18779074,34
18780399,b475737f485d431de1d89be1fc6c856e64664cc7eb546269cf9af2596b887ba6,64,541,378,378,5,60716,56630760925,51234036292,46587071231,1207385309,716465739,522072440,49606570596,18779074,34
18780400,1c4c263385328f3c69558a7214c8daa846c3675445a432574a22129ebe440805,65,86,360,360,7,60412,56620486522,51195214011,46587071231,1161651457,711187497,522072440,50408626164,18779074,34
18780401,8494263313c28d2e44e3a31aa317273e6d88be93fc4ff0fdd9b3c0bb122e1db0,66,407,233,233,10,60572,56612832037,51199579608,46587071231,1123185052,707257449,522072440,51301267156,18779074,34
18780402,d7ed752773ceb8a99f95c704c5491d1e6be62304c7e591016f7cb37bb373e196,67,661,449,449,5,60816,56612832037,51196836513,46587071231,1080374546,702976398,522072440,48922973757,18779074,34
18780403,4a2dbe2ea5c3a0878752441be6ff3de5aaf50c06bcc5944f997297af508068eb,68,222,726,726,20,60455,56364202674,51148034265,46587071231,1197542724,716270600,537846283,52374491186,18779074,34
18780404,b5b63d2ebb47f6ee2366c29e03738315855fc51664fed62db22f3e133f467b68,69,549,140,140,5,60752,56168559069,51172566510,46587071231,1179877030,711272058,537846283,54531439022,18779074,34
18780405,2cb0bd3d9a34245cef1bab4431e0f58fb22ed37083d4e3ab5f46704932fb3655,70,138,546,546,7,60454,56168559069,51209111671,46587071231,1116213418,704905697,537846283,52216585344,18779074,34
18780406,493bf014dca863aab7a5d7fc8388cd49888546b3f29ddb863ec7acf1e206ad33,71,218,533,533,7,60419,56139139892,51238846880,46587071231,1180504225,711559357,537846283,52508992565,18779074,34
18780406,493bf014dca863aab7a5d7fc8388cd49888546b3f29ddb863ec7acf1e206ad33,72,218,533,533,5,60890,56139139892,51238846880,46587071231,1180504225,711559357,537846283,52508992565,18779074,34
18780407,4d40800b12e03585b54d930190a3a2acb3a03945a32c2d25221438d7b4c04387,73,231,183,183,7,60584,56135382538,51257978695,46587071231,1143985494,707951695,537846283,50713314542,18779074,34
18780408,a911c421f28806441756525d093f2691c5cd2ead671e0b4c879dd5b06b413f8e,74,508,192,192,20,60609,56126433875,51232090831,46587071231,1113609260,704599879,536967368,50398384859,18779074,34
18780409,322ebdd1f65cf1e6214157775976f1bf987d405c072fd281e7858e16522493b8,75,153,56,56,10,60694,56126433875,51200886579,46587071231,1098517067,703032063,536967368,51220011667,18779074,34
18780410,6678db3fcf23e6cb02c41f259b43e9880e1d556b582d4e5e0f7e04e02566a774,76,318,141,141,19,60670,56126433875,51192103186,46587071231,1077326085,700912965,536967368,49155801233,18779074,34
18780411,1643509ba72516dd61d8a4a98473084186542ffc984e4d00b9face14acf24940,77,65,369,369,10,60689,56125405230,51168679161,46587071231,1074640334,701512072,536658557,53911968273,18779074,34
18780412,5b6e653e02dc5f89e191afb7bcf06c75c4553eca5323a284c64c4b3641ce33d9,78,277,205,205,6,60918,56110218997,51201975638,46587071231,1092626221,704040685,536658557,52359902010,18779074,34
18780413,3f8aa095ce61d94da4ff091b077d1a00eda8684519b943c1e32323db58a157dd,79,184,338,338,19,60617,56087421837,51210201168,46587071231,1077282861,702581662,536658557,52715148673,18779074,34
18780414,85e00e880f5a3eca3503348a615e256ddcbbe719aa29734e1020ed86793c1453,80,414,419,419,8,60556,56087421837,51220765333,46587071231,1065819238,701435299,536658557,51399704518,18779074,34
18780414,85e00e880f5a3eca3503348a615e256ddcbbe719aa29734e1020ed86793c1453,81,414,419,419,19,60704,56087421837,51220765333,46587071231,1065819238,701435299,536658557,51399704518,18779074,34
18780415,d9eb8f260aaa338d4a46f64c86037d293b627ae1d362e48a45b754909b05c2c6,82,667,679,679,6,61029,56077470379,51209980906,46587071231,1055769848,700356619,536658557,53163282349,18779074,34
18780416,ef2670d779d13fd852fe42943d362dc12d215c377e4857f6401ca4ff4bec8fc4,83,738,719,719,10,60824,56077470379,51236271134,46587071231,1073757602,702155394,536658557,51810937811,18779074,34
18780417,62c9dfb83f5554432ad3d2060fe88603bfc7d94ef10bf57d7177c40ee38109f6,84,305,114,114,19,60697,56052742472,51229870965,46587071231,1056952677,700430525,536658557,50800973385,18779074,34
18780418,2543717baee0fc60693f9131cd3887301c8f6167e65acdd853f5dd828c489111,85,115,615,615,6,60982,56039501527,51220737661,46587071231,1015815573,696060184,536658557,48462393333,18779074,34
18780419,b5f6dc46c987dc3f1004cfb010ae54637de64998dc6dcc865f1f9bcb031257be,86,551,206,206,8,60628,56039501527,51174517656,46590310062,1018340533,696352741,539965056,49923601531,18779074,34
18780420,eb7a900c6df409629839d06648046a3cbee6249c835c1de75010e986fe4c6475,87,721,755,755,8,60746,56039501527,51141610257,46590310062,991617925,693680480,539965056,48246897821,18779074,34
18780420,eb7a900c6df409629839d06648046a3cbee6249c835c1de75010e986fe4c6475,87,721,755,755,8,60865,56039501527,51141610257,46590310062,991617925,693680480,539965056,48246897821,18779074,34
18780421,da6d9bcfd9b805abc8985a9470ae18b9aabf52ff9239ddaf9a715cb4488ea764,88,670,375,375,6,61093,56029865848,51097449434,46590310062,969522475,691491168,539965056,53871550519,18779074,34
18780422,b86956f1af8a2e9cb3357860bbd74f24c90358acb61355db9353e2c8fb362d64,89,561,332,332,5,61094,56029865848,51147210479,46590310062,969112780,691450199,539965056,51818305956,18779074,34
18780423,ca8d89ec9e3f511de6c9b5e196bcf8317d4ea76a696704395412561ff513f0ba,90,617,321,321,10,60929,55989158860,51164351693,46590310062,1027864672,697538310,539965056,51666008069,18779074,34
18780424,0c7fead145fde202246e4b9bdce0990715cb8f09a7604e9c1ac8aed435a2e54d,91,45,427,427,10,60920,55989158860,51170619482,46590310062,997548468,694506690,539965056,50336451809,18779074,34
18780425,e3f8799cdb1dbe179084c3fecb724a6fea28a1ed3cc4d164bfef1200c7335eaf,92,699,392,392,6,61132,55982031491,51151448462,46590310062,977364536,692488296,539965056,48623235571,18779074,34
18780426,1ef6d3e059950e7f3f053581cb9a01b858d80c2a258805fadcec8f7c986ffcad,93,98,761,761,8,60771,55975739941,51113567533,46590310062,980598625,692240415,539965056,53518566201,18779074,34
18780427,4eb61dc76bdbf67883ea8cb40af65a425b72576d3346dc0c8cb96ef0886a377f,95,239,754,754,11,60910,55975739941,51141330091,46590310062,978494436,692029996,539965056,54008920252,18779074,34
18780427,4eb61dc76bdbf67883ea8cb40af65a425b72576d3346dc0c8cb96ef0886a377f,94,239,754,754,7,60864,55975739941,51141330091,46590310062,978494436,692029996,539965056,54008920252,18779074,34
